City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
198,debre werk',10.6667,38.1667,13.81,68,61,0.67,ET,1732491813
199,tsimasham,27.0989,89.536,1.36,90,69,2.38,BT,1732491813
200,wilmington island,32.0036,-80.9737,16.09,76,0,0.0,US,1732491813
201,buzuluk,52.7807,52.2635,-0.57,70,4,3.37,RU,1732491813
202,minas de marcona,-15.2119,-75.1103,14.92,80,58,5.58,PE,1732491813
203,kristiansund,63.1115,7.732,5.36,65,74,1.54,NO,1732491781
204,happy valley-goose bay,53.3168,-60.3315,3.17,93,100,9.26,CA,1732491813
205,newman,37.3138,-121.0208,17.25,55,50,1.34,US,1732491814
206,astrakhan,46.3497,48.0408,0.93,100,84,5.0,RU,1732491814
207,nelson bay,-32.7167,152.15,28.94,67,98,8.49,AU,1732491814
208,impfondo,1.6381,18.0667,23.77,79,71,0.86,CG,1732491814
209,port moresby,-9.4431,147.1797,30.68,70,40,1.54,PG,1732491815
210,hithadhoo,-0.6,73.0833,28.09,75,92,6.83,MV,1732491815
211,zaysan,47.4667,84.8667,-10.82,80,28,1.97,KZ,1732491637
212,nueva gerona,21.8833,-82.8,23.09,66,1,3.85,CU,1732491815
213,ad-damazin,11.7891,34.3592,26.54,28,29,3.87,SD,1732491815
214,tsagan aman,47.5639,46.7218,2.82,86,100,4.13,RU,1732491815
215,praya,14.9215,-23.5087,25.3,78,20,6.69,CV,1732491815
216,mariental,-24.6333,17.9667,26.65,25,54,2.65,NA,1732491816
217,inari,68.906,27.0288,-3.45,77,99,4.86,FI,1732491816
218,cidreira,-30.1811,-50.2056,20.99,77,0,12.11,BR,1732491816
219,pala,9.3642,14.9046,20.86,26,35,2.37,TD,1732491816
220,sitka,57.0531,-135.33,3.94,35,0,0.0,US,1732491776
221,roschinskiy,53.2669,40.0039,-1.71,79,35,5.19,RU,1732491816
222,punta arenas,-53.15,-70.9167,9.06,53,75,4.12,CL,1732491741
223,anadyr,64.75,177.4833,-8.72,85,20,5.0,RU,1732491817
224,badger,64.8,-147.5333,-6.68,86,0,2.57,US,1732491817
225,sao jose da coroa grande,-8.8978,-35.1478,25.65,80,4,5.85,BR,1732491817
226,narara,-33.4,151.35,27.09,80,97,0.89,AU,1732491817
227,port mathurin,-19.6833,63.4167,24.57,73,20,7.49,MU,1732491817
228,hilo,19.7297,-155.09,24.49,90,100,2.57,US,1732491817
229,sur,22.5667,59.5289,24.57,61,0,4.03,OM,1732491817
230,progreso,21.2833,-89.6667,24.51,63,52,4.46,MX,1732491818
231,greenland,43.0362,-70.8328,6.06,54,75,9.26,US,1732491818
232,newcastle,-32.9272,151.7765,27.03,64,0,3.09,AU,1732491818
233,penzance,50.1186,-5.5371,12.38,80,100,12.79,GB,1732491818
234,osakarovka,50.565,72.5692,-4.94,81,59,5.25,KZ,1732491818
235,sebastian,35.1668,-94.2669,21.31,71,79,5.12,US,1732491765
236,vadso,70.0744,29.7487,-1.91,80,20,7.72,NO,1732491818
237,acapulco de juarez,16.8634,-99.8901,28.9,74,75,3.6,MX,1732491781
238,hasaki,35.7333,140.8333,12.8,51,37,8.4,JP,1732491819
239,cold lake,54.4502,-110.2017,-12.03,85,75,3.6,CA,1732491819
240,fort bragg,35.139,-79.006,13.75,73,0,0.0,US,1732491550
241,vorgashor,67.5833,63.95,-4.35,93,100,8.1,RU,1732491819
242,lahad datu,5.0268,118.327,25.49,92,99,2.69,MY,1732491820
243,ilha de mocambique,-15.0342,40.7358,26.56,82,82,1.4,MZ,1732491820
244,sorong,-0.8833,131.25,26.53,87,98,2.79,ID,1732491820
245,sars,56.5502,57.1366,-1.74,67,0,3.78,RU,1732491820
246,sosnovo-ozerskoye,52.5249,111.5418,-23.88,99,62,3.08,RU,1732491820
247,kone,-21.0595,164.8658,27.77,68,98,2.55,NC,1732491820
248,sandnessjoen,66.0217,12.6316,1.97,84,100,8.59,NO,1732491821
249,lata,40.1629,-8.3327,16.5,92,100,6.94,PT,1732491821
250,cururupu,-1.8283,-44.8683,24.5,87,86,1.0,BR,1732491821
251,gaspe,48.8334,-64.4819,3.12,87,100,5.66,CA,1732491668
252,buala,-8.145,159.5921,29.95,69,36,1.76,SB,1732491821
253,ciudad del carmen,18.6333,-91.8333,26.02,50,0,2.06,MX,1732491821
254,hermanus,-34.4187,19.2345,18.78,89,100,1.45,ZA,1732491821
255,callao,-12.0667,-77.15,20.16,77,100,4.12,PE,1732491671
256,vilyuysk,63.7553,121.6247,-22.76,89,100,2.43,RU,1732491822
257,nago,26.5881,127.9761,22.58,63,4,3.64,JP,1732491822
258,victorica,-36.2151,-65.4359,23.34,32,0,3.95,AR,1732491822
259,beaufort west,-32.3567,22.583,23.72,43,35,2.18,ZA,1732491822
260,brady,31.1352,-99.3351,25.25,38,0,2.57,US,1732491823
261,igarka,67.4667,86.5833,-1.8,96,100,7.79,RU,1732491788
262,ust'-kulom,61.6864,53.6902,-1.45,88,100,2.7,RU,1732491823
263,maues,-3.3836,-57.7186,28.36,60,60,1.1,BR,1732491823
264,justo daract,-33.8594,-65.1828,20.83,87,47,5.02,AR,1732491823
265,sesto calende,45.7261,8.634,7.47,77,40,3.09,IT,1732491823
266,aswan,24.0934,32.907,18.61,52,0,2.57,EG,1732491823
267,carnarvon,-24.8667,113.6333,22.11,78,83,9.19,AU,1732491824
268,arendal,58.4615,8.7725,10.29,94,100,9.83,NO,1732491824
269,linxia chengguanzhen,35.6003,103.2064,-10.41,91,90,2.19,CN,1732491824
270,mahdia,35.5047,11.0622,18.81,67,100,6.84,TN,1732491824
271,mabaruma,8.2,-59.7833,24.62,90,100,0.99,GY,1732491824
272,sechenovo,55.2244,45.8906,-0.49,98,100,5.66,RU,1732491824
273,limon,10.0,-83.0333,25.21,84,89,4.83,CR,1732491722
274,voitsberg,47.0333,15.15,-1.32,94,95,3.09,AT,1732491825
275,karpinsk,59.7654,60.0085,-4.14,90,3,1.54,RU,1732491825
276,ola,59.5833,151.2833,-13.17,66,66,5.5,RU,1732491825
277,malvan,16.0667,73.4667,22.77,52,96,2.66,IN,1732491825
278,porbandar,21.6422,69.6093,22.76,41,30,3.84,IN,1732491784
279,swanage,50.6092,-1.9626,11.02,89,100,4.92,GB,1732491826
280,auki,-8.7676,160.7034,30.2,69,33,2.12,SB,1732491826
281,atafu village,-8.5421,-172.5159,28.55,73,21,5.78,TK,1732491773
282,mahibadhoo,3.7833,72.9667,27.61,75,93,2.32,MV,1732491826
283,manoc-manoc,11.9416,121.9428,27.84,78,36,7.24,PH,1732491826
